1	Mit értünk hajón a Szabályzat I. része alapján? Hajó	"a nagyhajó, a kishajó, a vízi sporteszköz és az úszóm?."	"a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép."	minden vízijárm? és úszómunkagép.		2
2	Folytassa a meghatározást! Géphajó az a saját	"gépi berendezéssel rendelkez? hajót, amely önálló mozgásra alkalmas."	"gépi berendezést is m?ködtet? hajót, kivéve azokat, amelyeknél a motort csak a m?veletképesség növelésére használják."	"gépi berendezéssel hajtott hajó, kivéve azokat a hajókat, amelyeknél a motort csak korlátozott mérték? helyváltoztatásra, illetve azok vontatásakor vagy tolásakor a m?veletképesség növelésére használják."		3
3	Mit értünk vitorlás hajón? Vitorlás hajó	a vitorlával/vitorlákkal felszerelt hajó.	a vitorlát/vitorlákat is használó hajó.	a csak vitorlával/vitorlákkal haladó hajó.		3
4	Minek min?sül a vitorla mellett saját gépi hajtóberendezését is használó hajó?	Géphajónak.	Vitorlás hajónak.	Segédmotoros vitorlásnak.	teszt-1235.jpg	1
5	"Kishajónak min?sül-e az a 20 méternél kisebb hosszúságú hajó, amelyen 12 f?nél több utas szállítását engedélyezte a hajózási hatóság?"	Nem.	Igen.	"Sem a hossznak, sem a befogadóképességnek nincs jelent?sége, a hajó üzembe helyezésekor a hajózási hatóság dönt a min?sítésr?l."	xxx-1659.jpg	1
6	Mit értünk úszómunkagépen a Szabályzat I. része alapján?	"Hajóúton, illetve kiköt?kben való munkavégzésre szolgáló úszólétesítmény."	"Gépi meghajtó berendezéssel nem rendelkez? víziutakon, illetve kiköt?kben való munkavégzésre szolgáló úszólétesítmény."	"Gépi berendezéssel ellátott víziutakon, illetve kiköt?kben való munkavégzésre szolgáló úszólétesítmény."	teszt-0073.jpg	3
7	Mit értünk gyorsjáratú hajón a Szabályzat I. része alapján?	Minden hordszárnyas és a légpárnás hajót.	"Minden olyan géphajót, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes."	"Minden olyan géphajót a kishajó kivételével, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes."	teszt-1396.jpg	3
8	Válassza ki az úszóm? fogalmát a Szabályzat I. része alapján!	"Helyváltoztatásra szolgáló úszó létesítmény (pl. fürd?hajó, úszódokk, kiköt?ponton, csónakház)."	"Rendeltetésszer?en helyhez kötött úszó létesítmény, mint például fürd?hajó, úszódokk, kiköt?ponton, csónakház."	"Helyváltoztatásra alkalmatlan úszó létesítmény (pl.: fürd?hajó, csónakház)."	teszt-1408.jpg	2
9	Folytassa a meghatározást a Szabályzat I. része alapján! Úszó testek köteléke	a géphajó és a mellévett alakzatban továbbított komp együttese és a vízijárm?.	"a géphajó és az általa tolt, vontatott, illetve mellévett alakzatban továbbított hajók összessége."	"a tutaj, továbbá helyváltoztatásra szolgáló és hajónak vagy úszóm?nek nem tekinthet? egyéb létesítmény, kötelék vagy tárgy."		3
10	Egy gépi hajtású kishajó min?sülhet-e gyorsjáratú hajónak?	"Igen akkor, ha a vízfelszínhez viszonyított sebessége meghaladja a 40 km/órát."	"Nem, a gépi hajtási kishajó függetlenül a vízfelszínhez viszonyított sebességét?l nem min?sül gyorsjáratú hajónak."	"Igen, de csak abban az esetben, ha a vízfelszínhez viszonyított sebessége meghaladja az 50 km/órát."		2
11	Mi a mellévett alakzat?	"Olyan mereven összecsatolt kötelék, amelyben legalább egy gépnélküli hajó a kötelék haladását biztosító géphajó el?tt helyezkedik el."	"Egymáshoz oldalukkal csatolt hajókból álló merev kötelék, amelyek közül egyik sem helyezkedik el az alakzatot továbbító géphajó el?tt."	"Olyan kötelék, amelyben legalább két hajó összecsatolva halad."		2
12	Folytassa a meghatározást! Vontatott kötelék az	"egy vagy több uszályból összeállított, géphajó (vontatóhajó) által továbbított merev kötelék, amely nem tartalmaz úszóm?vet vagy úszóm?veket."	"egy vagy több hajóból, úszóm?b?l vagy úszó testek kötelékéb?l összeállított, egy vagy több géphajó (vontatóhajó) által vontatott kötelék."	"olyan merev kötelék, amelynél a géphajó vagy géphajók mögött helyezkednek el a továbbított úszó létesítmények."	teszt-1422.jpg	2
13	Folytassa a meghatározást! Tolt kötelék az olyan	"merev kötelék, amelyben a kötelékben található hajók közül legalább egy a köteléket továbbító és tolóhajónak nevezett géphajó el?tt helyezkedik el."	"merev kötelék, amelyben a kötelékben található hajók közül legfeljebb egy a köteléket továbbító és tolóhajónak nevezett géphajó mellett helyezkedik el."	"merev kötelék, amelyben a kötelékben található hajók mindegyike kizárólag a köteléket továbbító és tolóhajónak nevezett géphajó el?tt helyezkedhet el."		1
14	Folytassa a meghatározást! A motoros vízi sporteszköz olyan	"bels?égés? motoros, vízsugárhajtású 4 m hosszt el nem ér? vízijárm?, amelynek rendeltetésszer? m?ködtetését a hajótesten - és nem annak belsejében - ül?, álló vagy térdel? személy vagy személyek végzik."	"sport- és szabadid?s célú bels?égés? motoros, vízsugárhajtású 4 m hosszt el nem ér? vízijárm?, amelynek rendeltetésszer? m?ködtetését a hajótesten - és nem annak belsejében - ül?, álló vagy térdel? személy vagy személyek végzik."	"nem sport- és szabadid?s célú bels?égés? motoros, vízsugárhajtású 4 m hosszt el nem ér? vízijárm?, amelynek rendeltetésszer? m?ködtetését a hajótesten - és nem annak belsejében - ül?, álló vagy térdel? személy vagy személyek végzik."		2
15	Mit tekintünk vitorlás vízi sporteszköznek?	Legfeljebb 3 m2 névleges vitorlafelület? vízi sporteszköz.	Legalább 3 m2 névleges vitorlafelület? vízi sporteszköz.	Legalább 5 m2 névleges vitorlafelület? vízi sporteszköz.	xxx-1648.jpg	2
16	Milyen el?írás vonatkozik a nyilvántartásra kötelezett kishajó vezet?jére az alábbiak közül?	A vezet?nek a kishajó vezetéséhez szükséges képesítéssel kell rendelkeznie.	A vezet?nek kell a hajón tartózkodók közül a legmagasabb képesítéssel rendelkeznie.	A hajó vezet?jének legalább gépnélküli hajóvezet?i képesítéssel kell rendelkeznie.		1
17	Hárul-e kötelezettség a kishajó vezet?jére az illetékes hatóság ellen?rzési tevékenységével kapcsolatban?	"Igen, biztosítani kell az ellen?rzés lehet?ségét, ezen belül azt is, hogy a hatóság képvisel?i haladéktalanul a fedélzetre léphessenek."	"Nem, az illetékes hatóság ellen?rzési tevékenységével kapcsolatban nincsenek kötelezettségei."	"Igen, haladéktalanul értesítenie kell a kishajó tulajdonosát, vagy üzemeltet?jét az ellen?rzés tervezett id?pontjáról jelenlétük biztosítása, nyilatkozattételi jogosultságuk érvényesítése céljából."		1
18	Mit jelöl a hajón látható kett?s sárga kúp? A kett?s sárga kúp	12 f?nél több utas szállítására engedéllyel rendelkez? 20 méternél kisebb testhosszúságú hajót jelöl.	20 f?nél több utas szállítására engedéllyel rendelkez? 15 méternél nagyobb testhosszúságú hajót jelöl.	15 f?nél több utas szállítására engedéllyel rendelkez? 20 méternél nagyobb testhosszúságú hajót jelöl.	xxx-2461.jpg	1
19	"Mit jelöl a hajón látható csúcsával lefelé néz? fekete kúp? A fekete kúp azt jelzi, hogy"	a vitorlával haladó hajó egyidej?leg saját gépi hajtóberendezését is használ.	a 20 méternél kisebb testhosszúságú hajó 12 f?nél több utas szállítására rendelkezik engedéllyel.	a vitorlával haladó hajó m?veletképességében korlátozott.	xxx-2700.jpg	1
20	Mit jelölnek a hajón látható jelz?testek (kett?s sárga kúp és fekete kúp)? A jelz?testek olyan	"20 méternél rövidebb hajót jelölnek, amelyen 12 f?nél több utas szállítását engedélyezték és a vitorla mellett egyidej?leg saját gépi er?t is használ."	"12 f?nél több utas szállítására engedéllyel rendelkez? hajót jelölnek, amely meghajtásához vitorla mellett saját gépi er?t is használ és a legnagyobb testhosszúsága már meghaladja 20 métert."	"20 méternél kisebb testhosszúságú vitorlás hajót jelölnek, amely meghajtásához vitorla mellett saját gépi er?t is használ."	xxx-1625.jpg	1
21	Folytassa a meghatározást! Gépi er?vel haladó kishajó a saját	"gépi berendezéssel rendelkez? kishajó, amely önálló mozgásra alkalmas."	gépi berendezéssel is m?ködtethet? kishajó.	gépi berendezéssel hajtott kishajó.		3
22	Mit értünk vitorlás kishajón? Vitorlás kishajó	a vitorlával/vitorlákkal felszerelt kishajó.	a vitorlát/vitorlákat is használó kishajó.	a csak vitorlával/vitorlákkal haladó kishajó.		3
23	Mit értünk egy menetben lév? kishajó vonatkozásában a megáll kifejezés alatt?	A parthoz viszonyított megállást.	A vízhez viszonyított megállást.	Más hajóhoz viszonyított megállást.		1
24	Mikor tekintjük a kishajót menetben lév?nek?	Ha az nincs közvetlenül vagy egyéb módon a parthoz kikötve.	Ha az más úszó létesítményekhez képest halad és nincs zátonyon fennakadva.	"Ha az nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva."		3
25	"Folytassa a meghatározást! Menetben lév? az a kishajó, amely"	"nem áll közvetlenül vagy egyéb módon horgonyon vagy a parthoz kikötve, illetve nincs zátonyon fennakadva."	más úszó létesítményekhez képest halad és nincs zátonyon fennakadva.	nincs közvetlenül vagy egyéb módon a parthoz kikötve és nincs zátonyon fennakadva.		1
26	Mi a kötelezettsége a kishajó vezet?jének a kishajón tartandó okmányokkal kapcsolatban?	Az illetékes hatóságok képvisel?inak felszólítására be kell mutatni azokat.	"Azokat a Szabályzat el?írása szerint rendszerezve, áttekinthet?en és ellen?rzésre el?készítve kell a kishajón tartani."	Az eredeti okmányok másolatait kell csak a hajón tartani.		1
